cbo,wmc,dit,rfc,lcom,totalMethods,totalFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,uniqueWordsQty,defect
5,23,1,20,9,7,6,1,131,5,0,2,3,0,19,3,23,2,17,3,125,0
9,23,1,19,9,7,6,0,131,5,0,2,3,0,19,3,23,2,17,3,125,1
9,11,1,8,21,7,0,0,28,5,0,4,0,0,2,1,1,0,1,1,24,1
40,64,2,117,93,18,24,10,333,14,10,10,10,0,67,16,80,12,74,5,319,0
48,64,1,115,93,18,24,0,333,14,10,10,10,0,67,16,80,12,74,5,319,1
10,16,1,12,4,5,8,0,78,6,0,10,0,0,4,1,18,0,16,5,100,0
10,15,1,11,4,4,8,0,70,5,0,10,0,0,4,1,16,0,15,5,100,1
16,25,1,21,9,10,13,1,100,2,1,8,2,0,7,10,22,5,22,4,84,0
19,25,1,21,9,10,13,0,100,2,1,8,2,0,7,10,22,5,22,4,84,1
29,116,8,77,801,55,32,3,632,26,5,17,0,20,3,44,159,78,114,6,299,0
27,114,5,76,801,55,32,0,628,26,5,17,0,19,3,43,158,75,113,6,297,1
22,170,5,111,169,32,33,1,722,35,35,37,2,20,360,25,113,89,92,7,226,0
38,170,5,103,169,32,33,0,722,35,35,37,2,20,360,25,113,89,92,7,226,1
11,24,1,0,276,24,0,0,142,0,0,0,0,0,0,0,0,0,0,0,134,1
24,108,2,93,304,29,12,1,415,26,2,32,3,3,49,14,75,14,44,5,229,0
33,104,1,87,276,28,12,0,401,25,2,30,3,3,51,11,71,13,42,5,208,1
8,6,2,12,1,2,0,0,30,1,0,0,1,0,4,0,3,2,3,4,31,0
8,9,1,11,10,5,0,0,34,1,0,0,1,0,4,0,3,2,3,3,36,1
4,11,1,2,47,11,4,1,44,5,0,0,0,0,0,0,4,0,4,0,43,0
5,11,1,2,47,11,4,0,44,5,0,0,0,0,0,0,4,0,4,0,43,1
34,113,24,95,62,48,5,21,917,67,4,27,2,26,46,15,78,3,38,18,362,0
48,113,18,89,62,48,5,0,917,67,4,27,2,26,46,15,78,3,38,18,362,1
26,46,5,42,141,28,3,0,211,18,1,6,0,1,0,0,11,0,11,3,111,0
27,46,3,42,141,28,3,0,211,18,1,6,0,1,0,0,11,0,11,3,110,1
24,44,1,54,55,11,5,0,194,17,6,7,2,0,8,8,54,3,39,5,134,1
13,27,1,17,0,16,10,1,150,11,4,1,0,0,0,4,23,0,21,3,163,0
9,27,1,17,4,16,10,0,150,11,4,1,0,0,0,4,23,0,21,3,163,1
2,38,1,3,76,24,11,2,161,14,3,4,0,0,2,26,75,34,39,2,60,0
2,38,1,3,76,24,11,0,161,14,3,4,0,0,2,26,75,34,39,2,60,1
7,24,2,33,22,8,1,1,93,1,4,3,0,0,10,5,16,5,14,6,72,0
8,23,1,29,22,8,1,0,89,1,4,2,0,0,9,5,16,5,14,6,62,1
11,119,2,45,336,55,9,12,969,8,11,43,0,39,26,231,137,426,96,2,323,0
9,119,2,41,336,55,9,0,969,8,11,43,0,39,26,231,137,426,96,2,323,1
9,169,11,98,655,73,17,53,838,108,7,34,12,24,48,106,134,82,85,16,294,0
50,169,11,93,655,73,17,0,838,108,7,34,12,24,48,106,134,82,85,16,294,1
26,274,1,165,0,183,20,0,799,36,10,64,0,14,24,41,131,10,124,3,288,1
72,74,22,65,489,59,14,1,494,57,0,6,0,1,8,16,27,3,22,4,321,0
70,73,22,65,458,58,14,0,491,57,0,6,0,1,7,16,27,3,22,4,320,1
22,91,2,92,0,15,23,7,309,14,5,36,0,3,0,42,93,22,70,5,123,0
22,91,1,84,0,15,23,0,309,14,5,36,0,3,0,38,93,22,70,5,123,1
71,381,26,262,3786,135,107,141,2059,101,24,63,17,32,394,115,295,129,205,11,1334,0
110,381,12,236,3786,135,107,0,2059,101,24,63,17,32,394,115,295,129,205,11,1334,1
16,280,3,55,850,50,25,49,1081,89,14,52,0,164,9,236,352,501,237,5,441,0
9,280,3,52,850,50,25,0,1081,89,14,52,0,164,9,236,352,501,237,5,441,1
14,24,8,24,1,8,4,5,153,6,0,10,4,0,6,6,25,1,18,5,127,0
26,24,4,24,1,8,4,0,153,6,0,10,4,0,6,5,25,1,18,5,127,1
3,10,1,9,2,5,5,0,48,1,0,1,0,1,9,2,12,3,8,2,43,1
2,22,1,9,1,2,8,4,93,1,2,0,0,0,5,9,22,1,13,3,34,0
4,24,1,11,3,3,3,0,73,2,3,2,1,1,6,5,14,1,10,4,37,1
51,234,4,196,2599,82,34,5,894,40,4,100,5,3,105,13,161,24,130,5,338,0
64,234,3,185,2599,82,34,0,894,40,4,100,5,3,105,13,161,24,130,5,338,1
54,98,2,6,4560,96,0,0,309,54,0,2,0,0,2,1,4,0,4,1,117,0
55,98,1,6,4560,96,0,0,309,54,0,2,0,0,2,1,4,0,4,1,117,1
47,113,16,126,890,102,9,0,701,18,0,3,0,0,24,12,29,8,27,5,575,0
49,115,13,129,957,103,9,0,721,18,0,3,0,0,24,12,30,8,28,5,581,1
58,64,10,130,126,36,21,6,561,13,2,10,0,0,12,13,76,7,68,8,274,0
58,67,7,126,126,37,21,0,577,15,3,10,0,0,11,13,77,7,69,9,277,1
15,36,3,86,58,16,10,4,177,11,0,3,3,3,24,5,25,0,20,4,137,1
70,325,12,135,2961,100,31,3,1649,64,34,57,0,24,10,73,180,44,141,16,770,0
67,325,12,118,2961,100,31,0,1649,64,34,57,0,24,10,73,180,44,141,16,769,1
2,48,1,42,64,12,5,11,156,12,4,15,3,1,13,30,36,13,23,6,85,0
13,42,1,39,53,11,5,0,132,10,3,14,3,0,13,22,29,11,19,6,82,1
14,24,2,24,0,12,5,1,88,4,0,6,1,1,8,1,14,0,9,1,58,0
21,23,1,23,0,12,5,0,81,3,0,6,0,1,7,1,14,0,9,1,54,1
34,29,3,45,1,13,19,0,142,1,0,6,0,1,11,12,19,0,36,1,129,0
34,29,2,45,1,13,19,0,142,1,0,6,0,1,11,12,19,0,36,1,129,1
126,6,1,13,0,1,1,0,232,3,1,1,1,0,187,0,4,1,4,2,167,0
128,6,1,13,0,1,1,0,232,3,1,1,1,0,187,0,4,1,4,2,167,1
10,167,2,121,3060,82,45,20,680,58,9,12,12,10,60,27,172,10,120,4,286,1
12,87,2,33,124,17,3,0,226,29,4,29,0,11,0,119,48,11,24,3,101,0
9,87,1,33,124,17,3,0,226,29,4,29,0,11,0,119,48,11,24,3,101,1
39,271,3,213,1095,63,24,1,967,68,26,102,8,7,25,29,238,13,196,6,282,0
51,271,3,188,1095,63,24,0,967,68,26,102,8,7,25,29,238,13,196,6,282,1
22,0,3,0,0,0,0,0,40,0,0,0,0,0,18,0,0,0,0,0,29,0
22,0,3,0,0,0,0,0,40,0,0,0,0,0,18,0,0,0,0,0,29,1
1,6,1,5,0,2,2,1,31,2,0,3,1,1,3,2,6,2,3,3,16,0
7,5,1,5,0,2,2,0,28,1,0,2,1,1,3,2,6,2,3,3,16,1
45,146,10,120,2,75,18,1,591,31,2,43,1,6,3,54,87,10,55,9,285,0
39,145,7,119,2,75,18,0,591,31,2,42,1,6,3,54,87,10,55,8,280,1
16,37,3,44,0,19,14,4,225,11,4,10,0,0,12,8,29,2,24,5,127,1
27,42,3,31,127,23,3,1,190,23,1,16,0,1,14,1,10,0,10,6,132,0
32,42,2,31,127,23,3,0,190,23,1,16,0,1,14,1,10,0,10,6,132,1
15,10,2,25,3,6,4,0,75,1,1,0,1,0,1,0,10,1,10,3,60,0
18,10,2,24,1,6,4,0,75,1,1,0,1,0,1,0,11,1,11,3,59,1
27,189,3,155,1,13,5,3,741,7,10,24,9,7,105,80,176,20,96,12,208,0
35,189,2,148,1,13,5,0,741,7,10,24,9,7,105,80,176,20,96,12,208,1
26,105,2,46,83,14,4,0,294,25,13,61,0,1,100,68,130,7,74,10,133,0
24,105,1,45,83,14,4,0,294,25,13,61,0,1,100,68,130,7,74,10,133,1
18,15,5,31,1,9,4,0,133,7,0,4,1,0,3,3,15,0,14,3,69,0
27,22,4,55,2,11,3,0,160,8,0,4,2,2,5,5,40,0,25,1,91,1
23,5,2,8,1,4,2,0,46,3,0,0,0,0,16,0,2,1,3,1,89,1
8,14,3,18,27,12,6,0,77,2,0,1,0,0,0,0,13,0,10,2,59,0
9,14,2,16,27,12,6,0,75,2,0,1,0,0,0,0,11,0,8,2,59,1
9,11,1,10,0,9,2,0,47,8,0,2,0,0,0,0,6,0,5,1,55,0
9,12,1,8,0,9,2,0,51,8,0,2,1,0,0,0,5,0,4,2,60,1
4,8,2,2,1,3,4,0,66,0,5,0,0,5,0,44,44,33,23,2,39,0
1,8,1,2,1,3,4,0,66,0,5,0,0,5,0,44,44,33,23,2,39,1
14,72,2,66,179,24,11,3,267,21,8,15,4,3,33,9,57,18,44,4,134,0
23,71,2,56,179,24,11,0,262,21,8,15,4,3,33,10,57,18,44,4,135,1
23,118,2,98,147,24,17,6,503,33,7,36,9,1,51,7,79,22,59,7,147,0
36,117,2,89,147,24,17,0,500,33,7,36,9,1,51,7,78,22,59,7,147,1
17,14,2,14,91,14,0,0,45,14,0,0,0,0,54,0,0,0,0,0,45,1
15,24,1,26,24,9,1,0,98,8,0,11,0,0,16,17,15,5,13,2,105,0
16,24,1,27,24,9,1,0,98,8,0,11,0,0,16,18,15,5,13,2,102,1
97,256,5,108,22709,217,8,3,2231,215,6,9,0,0,66,6,174,3,169,4,784,0
106,256,4,95,22709,217,8,0,2231,215,6,9,0,0,66,6,174,3,169,4,785,1
5,6,2,2,3,6,1,1,24,4,0,0,0,0,2,0,2,0,1,0,23,0
7,5,1,1,4,5,1,0,21,2,0,0,0,0,1,0,2,0,1,0,17,1
14,9,1,22,0,3,4,3,49,2,1,2,0,1,5,1,12,3,13,2,91,0
17,9,1,23,0,3,4,0,50,2,1,2,0,1,5,1,13,3,13,2,91,1
31,38,7,81,22,13,13,4,221,7,6,6,4,0,18,12,37,9,33,9,190,1
18,219,2,97,107,23,20,4,727,29,16,43,3,3,18,45,147,9,87,6,163,0
30,217,2,91,113,23,20,0,721,29,15,41,3,3,18,45,147,9,87,6,163,1
24,4,2,16,0,2,3,0,27,1,1,0,0,0,7,0,8,0,8,1,45,0
24,4,1,16,0,2,3,0,27,1,1,0,0,0,7,0,8,0,8,1,45,1
92,9,3,28,3,3,0,3,175,0,0,0,0,0,18,0,10,0,10,1,77,0
151,9,2,27,3,3,0,0,174,0,0,0,0,0,18,0,10,0,10,1,77,1
14,16,5,20,15,6,1,1,80,6,2,3,2,0,16,2,24,3,14,2,76,0
18,14,2,18,10,5,1,0,74,5,2,3,2,0,16,2,24,3,14,2,74,1
9,80,1,67,78,13,1,8,283,36,6,34,4,2,16,7,41,6,37,5,175,0
31,78,1,54,78,13,1,0,276,36,6,34,4,2,16,7,40,6,36,5,175,1
4,33,1,31,59,15,11,5,136,19,4,7,0,4,4,20,25,12,20,2,79,1
56,191,3,146,1474,65,42,7,723,30,8,59,0,1,34,36,160,8,116,6,295,0
61,191,2,142,1474,65,41,0,720,30,8,59,0,1,34,35,157,6,115,6,295,1
11,16,1,28,27,10,3,0,70,6,2,1,0,0,4,3,10,2,9,3,50,0
15,15,1,26,27,10,3,0,68,6,2,1,0,0,4,3,10,2,9,3,50,1
16,109,1,83,39,19,1,1,401,28,2,24,6,1,74,6,50,34,37,4,132,0
19,108,1,81,39,19,1,0,398,28,2,23,6,1,74,5,49,34,37,4,132,1
8,54,1,31,498,37,20,5,254,20,1,2,1,0,39,2,37,4,24,4,124,0
20,54,1,30,498,37,20,0,254,20,1,2,1,0,39,2,37,4,24,4,124,1
14,67,5,47,180,40,23,2,412,38,0,5,0,12,21,17,40,29,33,5,103,0
24,67,5,43,180,40,23,0,412,38,0,5,0,12,21,17,40,29,33,5,103,1
31,86,1,121,156,25,4,0,430,18,12,34,0,3,6,2,58,0,47,4,98,1
13,11,2,21,4,5,3,1,61,4,1,2,2,0,59,0,11,6,10,2,82,0
15,11,1,21,4,5,3,0,61,4,1,2,2,0,59,0,11,6,10,2,82,1
14,14,2,11,13,10,2,2,81,9,0,2,1,0,0,0,5,0,5,4,56,0
12,13,2,11,13,10,2,0,78,9,0,1,1,0,0,0,4,0,4,3,53,1
51,26,3,76,46,14,13,14,178,8,0,2,4,0,22,6,48,3,47,2,178,0
61,26,2,73,46,14,13,0,178,8,0,2,4,0,22,6,48,3,47,2,178,1
19,30,2,64,9,6,22,2,174,2,0,1,0,0,22,5,37,8,38,3,154,0
17,30,1,64,9,6,22,0,174,2,0,1,0,0,22,5,37,8,38,3,154,1
54,54,9,100,67,31,26,2,475,24,3,7,5,0,33,3,52,1,49,9,219,0
66,53,9,96,67,31,26,0,460,24,3,7,5,0,33,3,52,1,49,8,218,1
19,231,2,58,1820,64,102,24,762,153,7,27,0,2,23,171,200,28,140,5,212,1
25,42,1,71,136,24,8,11,205,18,10,2,8,1,35,5,30,1,27,2,129,0
33,42,1,70,136,24,8,0,205,18,10,2,8,1,35,5,30,1,27,2,129,1
35,71,11,65,156,34,20,7,507,13,4,19,0,3,0,16,84,1,69,6,294,0
36,68,8,62,152,33,20,0,493,13,3,19,0,3,0,15,78,1,63,5,292,1
13,75,1,61,25,11,3,13,342,32,4,5,10,1,135,34,115,16,58,5,231,0
23,75,1,56,25,11,3,0,342,32,4,5,10,1,135,34,115,16,58,5,231,1
8,14,2,15,6,5,3,0,65,4,2,1,2,0,8,0,4,4,6,3,88,0
10,14,1,14,6,5,3,0,65,4,2,1,2,0,9,0,4,4,6,3,87,1
9,87,1,33,124,17,3,0,226,29,4,29,0,11,0,119,48,11,24,3,101,0
9,87,1,31,124,17,3,0,226,29,4,29,0,11,0,119,48,11,24,3,101,1
21,48,2,28,443,43,2,2,82,5,0,3,0,0,36,6,2,1,2,0,101,1
5,53,2,34,47,14,12,7,175,11,3,18,0,3,7,16,32,8,25,3,99,0
9,53,1,31,51,14,10,0,173,11,3,18,0,3,9,13,32,8,25,3,99,1
10,17,2,26,52,12,2,2,66,9,1,2,0,0,8,6,14,1,11,1,65,0
10,15,1,24,49,11,1,0,60,8,1,2,0,0,8,6,12,1,10,1,61,1
30,30,3,32,72,18,10,0,267,22,1,3,0,2,4,13,29,6,20,3,297,0
26,30,2,32,70,18,10,0,267,22,1,3,0,2,4,13,29,6,20,3,297,1
35,10,2,43,0,7,4,1,60,5,0,1,1,0,34,7,18,1,19,1,72,0
38,10,1,41,0,7,4,0,60,5,0,1,1,0,34,7,18,1,19,1,71,1
28,37,2,27,0,10,8,1,143,3,1,12,0,3,10,9,33,19,27,3,115,0
23,37,1,27,0,10,8,0,144,3,1,12,0,3,10,9,34,19,27,3,115,1
17,19,1,34,8,8,7,3,141,6,3,3,1,0,51,0,16,0,16,2,78,1
37,41,1,27,229,26,13,0,144,18,0,11,0,0,43,11,27,0,20,2,125,0
44,41,1,26,229,26,13,0,144,18,0,11,0,0,39,11,27,0,20,2,112,1
22,17,7,44,20,14,4,0,142,0,0,0,0,0,0,16,15,0,13,1,79,0
20,15,6,43,14,13,3,0,135,0,0,0,0,0,0,16,14,0,12,1,76,1
5,50,2,9,435,30,1,0,261,33,0,4,0,0,508,13,24,14,7,5,223,0
4,50,1,9,435,30,1,0,261,33,0,4,0,0,509,13,24,14,7,5,224,1
36,52,8,77,52,23,11,3,274,21,7,6,2,1,7,4,32,2,31,9,139,0
49,57,8,71,52,23,11,0,276,21,7,6,2,1,7,9,32,2,31,8,139,1
43,107,13,113,1124,70,10,0,413,19,12,13,0,0,9,15,45,2,39,2,213,0
38,103,6,104,933,68,10,0,404,18,12,12,0,0,9,15,45,2,39,2,210,1
7,4,2,14,3,3,0,1,25,1,0,0,1,0,0,0,3,0,3,1,30,0
18,37,2,84,72,17,10,0,180,11,0,3,3,3,24,5,25,0,20,4,139,0
63,167,9,213,303,44,14,2,741,33,4,66,0,5,51,41,85,7,66,7,313,0
26,167,2,116,3060,82,45,0,680,58,9,12,12,10,60,27,172,10,120,4,286,0
14,31,2,34,86,21,10,0,133,3,0,0,0,1,6,4,13,1,13,1,100,0
31,37,3,43,0,19,15,0,218,11,4,10,0,0,12,8,28,2,23,5,126,0
25,148,1,68,33,10,4,17,340,5,10,49,2,12,97,45,99,15,77,9,126,0
20,6,2,10,1,4,2,0,56,3,0,0,1,0,16,0,2,1,3,2,91,0
3,3,2,7,3,3,0,0,18,2,0,0,0,0,8,0,0,0,0,0,30,0
15,14,1,14,91,14,0,0,45,14,0,0,0,0,54,0,0,0,0,0,45,0
15,14,5,30,9,8,2,1,81,4,0,2,1,0,7,2,17,4,15,3,71,0
40,38,4,82,22,13,13,0,222,7,6,6,4,0,18,12,37,9,33,9,190,0
3,6,2,13,0,3,1,0,51,1,0,0,0,0,1,0,4,0,4,1,47,0
8,33,1,28,59,15,11,0,137,19,4,7,0,4,4,19,25,12,20,2,79,0
74,67,18,84,123,41,12,22,447,48,1,8,0,7,2,0,33,0,28,5,293,0
31,90,1,122,156,25,4,0,439,18,14,35,0,3,6,2,58,0,47,4,98,0
7,50,2,43,0,13,6,1,222,9,1,16,4,0,7,7,38,5,25,7,95,0
19,230,2,59,1820,64,102,24,762,153,7,26,0,2,23,171,200,28,140,5,212,0
26,123,4,109,64,19,17,5,600,29,4,46,16,11,95,59,150,7,96,5,249,0
22,48,2,28,443,43,2,2,82,5,0,3,0,0,37,6,2,1,2,0,101,0
16,71,5,67,23,24,6,15,380,5,9,16,16,0,26,5,47,2,35,6,111,0
56,222,16,203,1092,72,4,7,1041,63,16,39,15,10,122,150,225,61,160,7,396,1
15,73,4,43,352,31,16,7,301,6,1,16,3,5,13,33,41,3,28,5,229,0
20,73,2,43,352,31,16,0,301,6,1,16,3,5,13,33,41,3,28,5,228,1
15,37,3,53,97,19,10,0,178,14,3,4,1,0,30,1,23,14,20,5,107,0
17,37,2,52,97,19,10,0,176,14,3,4,1,0,29,1,23,13,20,5,105,1
33,37,5,63,10,7,2,1,192,4,0,10,5,0,11,2,27,0,26,8,120,0
